Accident_ID,Accident_Severity,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Time,Age_of_Vehicle,Number_of_Vehicles,Number_of_Casualties,Vehicle_Type,Vehicle_Manoeuvre,Sex_of_Driver,Age_Band_of_Driver,Driver_Home_Area_Type,Junction_Control,Carriageway_Hazards,Skidding_and_Overturning,Hit_Object_in_Carriageway,latitude,longitude
ACC00034,3,55.6179503160788,Street lights,Rain,Icy,Urban,Early Morning,6,4,6,Truck,Overtaking,Male,56-65,Urban area,Not at junction,Previous accident,Overturned,Other object,51.8942091861346,0.170472383404061
ACC00035,3,83.3507774725116,Darkness - lights unlit,Rain,Wet,Rural,Night,13,6,2,Truck,Turning right,Female,46-55,Urban area,Not at junction,Previous accident,Skidded,Kerb,52.0680248996108,-0.329407552417826
ACC00036,2,50.2841630529748,Daylight,Rain,Wet,Urban,Evening,4,2,4,Motorcycle,Slowing or stopping,Male,36-45,Rural area,Give way,Parked vehicle,,Central island,52.4314659321294,-0.477295101918457
ACC00037,3,101.297707603653,Darkness - lights unlit,Rain,Wet,Rural,Early Morning,20,3,4,Van,Turning right,Male,56-65,Urban area,Not at junction,Pedestrian in carriageway,Skidded,Other object,51.1027688516014,-0.180528072050946
ACC00038,1,18.4537707859043,Daylight,Rain,Dry,Urban,Afternoon,1,3,1,Motorcycle,Turning right,Male,46-55,Urban area,Give way,Parked vehicle,,,52.2544247583828,0.357828795370985
ACC00039,2,6.70088679034097,Darkness,Fine,Wet,Urban,Evening,14,3,1,Motorcycle,Slowing or stopping,Female,36-45,Urban area,Auto traffic signal,Parked vehicle,,Central island,51.9089212634734,-0.291527152269065
ACC00040,1,49.9380866279372,Daylight,Fine,Icy,Urban,Afternoon,1,3,1,Car,Going ahead,Male,36-45,Urban area,Uncontrolled,Parked vehicle,,,52.3177257997139,-0.549683762806236
ACC00041,1,29.5886788207952,Daylight,Mist,Icy,Urban,Evening,14,2,3,Motorcycle,Going ahead,Female,36-45,Urban area,Auto traffic signal,Parked vehicle,,Kerb,51.0489305497327,0.462404377268542
ACC00042,1,13.9432353255467,Daylight,Fine,Dry,Urban,Morning,9,1,1,Car,Turning right,Female,26-35,Urban area,Auto traffic signal,Previous accident,,,51.4133927246991,-0.0896742646428301
ACC00043,2,39.7759728280609,Darkness,Rain,Wet,Rural,Night,16,1,2,Motorcycle,Turning right,Female,46-55,Urban area,Auto traffic signal,,,,51.9625481999622,-0.119605186028767
ACC00044,2,15.8996724849465,Darkness,Rain,Icy,Rural,Night,7,3,2,Motorcycle,Turning right,Male,46-55,Urban area,Auto traffic signal,Parked vehicle,,Kerb,52.5914498772175,0.186194421990369
ACC00045,1,53.7799189248869,Darkness - lights unlit,Fine,Dry,Urban,Early Morning,1,1,1,Truck,Turning right,Male,26-35,Urban area,Auto traffic signal,Previous accident,Overturned,,51.5418792549845,0.432135300293331
ACC00046,1,49.7190334191594,Street lights,Fine,Dry,Urban,Morning,19,1,1,Car,Going ahead,Female,26-35,Rural area,Auto traffic signal,,,,52.3211497570767,-0.485479385677417
ACC00047,3,55.4807308460143,Darkness,Rain,Icy,Rural,Early Morning,27,1,1,Motorcycle,Turning right,Female,56-65,Rural area,Uncontrolled,Previous accident,Overturned,Other object,52.353987625226,-0.307626079162277
ACC00048,1,6.26668862594326,Street lights,Fine,Icy,Urban,Evening,7,3,1,Car,Going ahead,Male,65+,Urban area,Give way,Previous accident,,,51.1117046870282,0.39688003857314
ACC00049,3,41.536724405222,Street lights,Mist,Wet,Rural,Night,11,4,2,Bus,Slowing or stopping,Male,65+,Urban area,Not at junction,Pedestrian in carriageway,Overturned,Other object,52.2504324279519,0.138875738352401
ACC00050,1,70.3670863509145,Daylight,Fine,Dry,Urban,Afternoon,1,2,3,Car,Going ahead,Female,26-35,Urban area,Auto traffic signal,,,,51.5299275152524,0.220307161004355
ACC00051,3,94.9095548743928,Darkness - lights unlit,Fine,Wet,Rural,Early Morning,16,6,6,Bus,Turning right,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,51.4474550448866,0.128968391293372
ACC00052,3,111.865102921666,Street lights,Fog,Wet,Rural,Early Morning,5,4,2,Truck,Turning right,Male,56-65,Rural area,Not at junction,Previous accident,Overturned,Kerb,51.5859275669702,0.454907711755453
ACC00053,3,68.0076446681424,Street lights,Fog,Wet,Rural,Night,12,1,5,Motorcycle,Overtaking,Male,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,52.4467213795697,0.401779606383035
ACC00054,2,28.1981860783665,Daylight,Snow,Wet,Urban,Afternoon,21,3,3,Car,Turning right,Male,56-65,Urban area,Auto traffic signal,Previous accident,Overturned,Other object,52.140223193702,0.256365724337813
ACC00055,3,86.7801199584235,Darkness,Fine,Icy,Rural,Night,5,4,1,Truck,Overtaking,Male,65+,Urban area,Not at junction,Previous accident,Skidded,Kerb,52.4474606651666,0.185441326700943
ACC00056,1,34.7166378748818,Daylight,Fine,Dry,Urban,Afternoon,25,1,1,Van,Going ahead,Female,36-45,Urban area,Give way,Parked vehicle,,Kerb,51.4842288404417,-0.214310375669901
ACC00057,3,46.3535444286337,Darkness,Snow,Wet,Rural,Evening,8,1,2,Motorcycle,Overtaking,Male,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,52.1055037237542,-0.142581365323775
ACC00058,2,56.6948805364459,Daylight,Rain,Wet,Rural,Night,1,3,1,Car,Turning right,Female,46-55,Urban area,Auto traffic signal,Parked vehicle,Skidded,,51.1928828525921,0.469443508063706
ACC00059,3,97.9385808993858,Darkness,Snow,Icy,Urban,Night,5,6,2,Bus,Overtaking,Male,56-65,Urban area,Give way,Previous accident,Skidded,Kerb,51.3656816973511,-0.0962990239963335
ACC00060,1,27.8938180133171,Daylight,Mist,Dry,Urban,Afternoon,6,1,1,Motorcycle,Turning right,Female,36-45,Urban area,Give way,,,Kerb,51.9917269006652,-0.525626180048564
ACC00061,1,20.3400316597403,Street lights,Fine,Wet,Urban,Evening,4,1,1,Motorcycle,Going ahead,Male,46-55,Urban area,Auto traffic signal,Pedestrian in carriageway,,Central island,51.5763506447828,0.148251066674421
ACC00062,2,9.35703935901117,Darkness,Snow,Dry,Urban,Night,14,1,3,Truck,Turning right,Male,36-45,Rural area,Give way,Pedestrian in carriageway,,,51.4952147747988,0.127734414631464
ACC00063,1,42.1550500669881,Daylight,Fine,Wet,Urban,Morning,3,1,1,Car,Going ahead,Male,36-45,Urban area,Auto traffic signal,Parked vehicle,,,52.1615398982213,-0.0431073345552769
ACC00064,2,43.3096210318315,Darkness,Rain,Dry,Rural,Early Morning,7,5,4,Motorcycle,Turning right,Male,46-55,Urban area,Give way,Parked vehicle,,Central island,51.6789805130231,0.461305438019473
ACC00065,1,28.2471117972916,Daylight,Fine,Wet,Urban,Morning,1,3,3,Car,Going ahead,Male,36-45,Urban area,Not at junction,,,,52.3128161078043,0.274290503624922
ACC00066,2,39.7300837662631,Daylight,Rain,Wet,Urban,Evening,13,2,2,Truck,Slowing or stopping,Male,36-45,Rural area,Give way,,,,51.9820185933122,-0.519445345295043
ACC00067,2,54.5027508515083,Daylight,Rain,Wet,Urban,Night,24,2,2,Car,Going ahead,Female,46-55,Rural area,Uncontrolled,Parked vehicle,Overturned,,51.5225336226469,0.103722483241448
ACC00068,2,9.0164556435365,Darkness,Snow,Wet,Rural,Evening,5,1,3,Van,Turning right,Male,36-45,Rural area,Auto traffic signal,Parked vehicle,,Central island,51.407565093995,0.430091065092933
ACC00069,1,-15.5544281187093,Daylight,Fine,Dry,Urban,Afternoon,1,1,1,Car,Turning right,Female,26-35,Urban area,Auto traffic signal,,,,52.6151053439864,-0.349112250856174
ACC00070,3,67.9342363313769,Darkness,Rain,Wet,Urban,Night,17,1,2,Bus,Turning right,Female,36-45,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.5585103108268,-0.542174695331496
ACC00071,2,25.4876325694271,Darkness,Rain,Dry,Urban,Evening,20,4,1,Car,Turning right,Female,46-55,Rural area,Uncontrolled,Parked vehicle,,Central island,52.6887627938564,0.263380534130235
ACC00072,2,51.4000388258581,Daylight,Fine,Wet,Rural,Night,7,5,1,Truck,Turning right,Male,36-45,Urban area,Auto traffic signal,Previous accident,,,51.3916371980222,-0.235467603533832
ACC00073,3,107.942071977347,Darkness - lights unlit,Rain,Wet,Urban,Morning,1,6,2,Bus,Going ahead,Male,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Other object,51.3116584870343,-0.425984578701077
ACC00074,2,75.920475374327,Daylight,Rain,Wet,Urban,Night,9,2,1,Truck,Turning right,Female,46-55,Rural area,Auto traffic signal,,,Central island,51.0180326197295,-0.363613923068345
ACC00075,2,-11.1399227870069,Daylight,Snow,Dry,Urban,Afternoon,15,1,1,Car,Turning right,Male,46-55,Rural area,Uncontrolled,,,Kerb,51.162628096912,-0.0248897199579782
ACC00076,3,120.41566745789,Darkness,Rain,Wet,Rural,Early Morning,21,2,4,Bus,Turning right,Male,56-65,Rural area,Auto traffic signal,Previous accident,Skidded,Kerb,51.3540513148687,-0.57067650257367
ACC00077,1,33.2801719858799,Daylight,Fine,Dry,Urban,Morning,7,4,1,Motorcycle,Going ahead,Male,26-35,Urban area,Give way,,,,52.2709359462996,-0.092286778138231
ACC00078,3,54.7064233860333,Darkness,Rain,Snow,Rural,Night,18,2,2,Bus,Going ahead,Male,56-65,Urban area,Not at junction,Parked vehicle,Overturned,Other object,51.287134885811,0.159269679000574
ACC00079,1,49.527774191812,Daylight,Fine,Dry,Urban,Morning,1,2,3,Car,Turning right,Female,26-35,Urban area,Give way,,,,52.5734664719415,-0.502539527352421
ACC00080,1,-11.0624960944198,Daylight,Snow,Wet,Rural,Morning,1,1,3,Van,Going ahead,Male,36-45,Urban area,Auto traffic signal,,Overturned,,52.5971482006591,0.358690486767614
ACC00081,2,39.1093885332147,Street lights,Fog,Dry,Rural,Night,6,2,2,Truck,Turning right,Male,65+,Urban area,Auto traffic signal,Parked vehicle,Skidded,Other object,51.4130959078634,-0.220859544886197
ACC00082,1,33.941632339643,Daylight,Fine,Dry,Urban,Afternoon,10,1,1,Van,Turning right,Female,36-45,Urban area,Auto traffic signal,,,,52.5443659542672,0.10655807849575
ACC00083,1,21.3464513914419,Daylight,Fine,Dry,Urban,Morning,1,4,1,Motorcycle,Overtaking,Female,26-35,Urban area,Auto traffic signal,,,,52.6029464966513,0.485328852593861
ACC00084,1,50.2815558952335,Daylight,Fine,Dry,Urban,Afternoon,1,1,1,Motorcycle,Turning right,Female,65+,Urban area,Auto traffic signal,,,,52.4914769007477,-0.399670292742431
ACC00085,3,93.6098073716136,Darkness,Rain,Icy,Rural,Early Morning,11,6,3,Motorcycle,Turning right,Male,56-65,Urban area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,52.4815289484108,0.275479476556448
ACC00086,3,73.6424727076586,Darkness,Rain,Icy,Rural,Early Morning,31,1,3,Motorcycle,Turning right,Male,65+,Rural area,Not at junction,Previous accident,Skidded,Other object,52.5512714362165,0.119088148165384
ACC00087,2,24.4607229175948,Darkness,Rain,Wet,Rural,Evening,6,2,1,Motorcycle,Slowing or stopping,Female,46-55,Urban area,Uncontrolled,Previous accident,,Other object,52.4631934553217,0.327830742095715
ACC00088,1,59.2266487141354,Street lights,Fine,Dry,Rural,Night,12,1,1,Car,Overtaking,Female,26-35,Urban area,Give way,,,,52.0044165429673,-0.0622687617173877
ACC00089,2,18.0387088546922,Street lights,Fog,Dry,Rural,Night,26,3,1,Motorcycle,Slowing or stopping,Male,46-55,Urban area,Uncontrolled,Parked vehicle,Skidded,Other object,52.4729057201922,0.25154812457817
ACC00090,1,35.4464076354696,Daylight,Fine,Dry,Urban,Morning,1,1,3,Motorcycle,Going ahead,Male,26-35,Urban area,Uncontrolled,Parked vehicle,,,52.2883383877894,-0.240263522280437
ACC00091,1,15.4204480210784,Daylight,Fine,Dry,Urban,Morning,13,4,3,Van,Turning right,Male,26-35,Urban area,Auto traffic signal,,Skidded,Central island,52.3111595893661,-0.29941452030197
ACC00092,2,55.8838784634252,Daylight,Rain,Wet,Urban,Evening,8,1,1,Truck,Going ahead,Female,36-45,Urban area,Uncontrolled,Previous accident,,,51.7570433509804,0.335574320565472
ACC00093,1,10.8836342969882,Daylight,Fine,Snow,Urban,Morning,15,2,3,Truck,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,,52.3590069942473,-0.0198604156650559
ACC00094,1,40.7103760692197,Street lights,Rain,Dry,Urban,Morning,1,2,1,Motorcycle,Turning right,Male,36-45,Urban area,Auto traffic signal,,,,51.8920859337748,0.308398425621239
ACC00095,1,31.1085202792585,Daylight,Snow,Icy,Urban,Afternoon,7,1,1,Car,Turning right,Female,26-35,Urban area,Give way,Parked vehicle,,,51.8589290331614,-0.0680997886080827
ACC00096,1,12.6191732139139,Daylight,Fog,Dry,Urban,Afternoon,7,1,1,Truck,Going ahead,Female,26-35,Urban area,Auto traffic signal,,Overturned,,52.527542120496,-0.219471508198341
ACC00097,3,40.72687944875,Darkness,Snow,Wet,Rural,Early Morning,6,5,5,Truck,Going ahead,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Other object,51.2575648087953,0.133025358523983
ACC00098,3,53.870833463413,Darkness - lights unlit,Snow,Dry,Rural,Night,15,3,3,Truck,Overtaking,Female,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Kerb,52.1885820689228,0.203177105327643
ACC00099,1,21.7558019639156,Daylight,Fine,Dry,Urban,Morning,2,1,3,Van,Slowing or stopping,Female,36-45,Urban area,Give way,,,,52.5245402968402,-0.385915236997158
ACC00100,3,84.4033487641474,Darkness,Fog,Wet,Rural,Night,21,1,6,Bus,Overtaking,Female,65+,Urban area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,52.5873931624393,0.424859070877401
ACC00101,2,44.4452922226702,Darkness,Snow,Dry,Urban,Evening,34,2,1,Car,Slowing or stopping,Female,46-55,Urban area,Auto traffic signal,Previous accident,Skidded,,52.3012347684661,-0.340509046631883
ACC00102,3,78.699407160502,Darkness,Rain,Wet,Rural,Morning,35,3,2,Motorcycle,Overtaking,Female,46-55,Urban area,Not at junction,Previous accident,Overturned,Other object,52.6119881665919,0.0668728659412022
ACC00103,1,14.3419227679551,Daylight,Fine,Dry,Urban,Morning,16,1,3,Motorcycle,Turning right,Female,36-45,Urban area,Auto traffic signal,,,Central island,52.4261267469581,0.498182262532245
ACC00104,3,84.341580581314,Darkness,Snow,Icy,Urban,Night,1,5,5,Bus,Overtaking,Male,65+,Rural area,Uncontrolled,Previous accident,Overturned,Kerb,51.6148769404278,-0.216627511223447
ACC00105,3,60.1796944923956,Darkness,Rain,Icy,Rural,Early Morning,14,1,2,Van,Overtaking,Male,46-55,Rural area,Uncontrolled,Previous accident,Overturned,Other object,52.3813566076645,-0.221055481450565
ACC00106,1,24.8124698678592,Daylight,Rain,Dry,Rural,Afternoon,6,1,1,Motorcycle,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,,51.0634919208737,-0.446383619768056
ACC00107,2,9.18737340622866,Daylight,Fine,Dry,Rural,Evening,13,4,4,Motorcycle,Turning right,Female,36-45,Urban area,Uncontrolled,Pedestrian in carriageway,,Central island,51.5451300345789,-0.375590499838156
ACC00108,2,51.357044836191,Darkness,Fine,Wet,Urban,Evening,1,4,4,Car,Slowing or stopping,Female,46-55,Urban area,Uncontrolled,Parked vehicle,,,51.0987076761149,-0.281045846015835
ACC00109,1,34.7079198539067,Daylight,Fine,Dry,Urban,Morning,11,4,1,Van,Turning right,Male,46-55,Urban area,Not at junction,,,,51.9226315536909,0.273617064404793
ACC00110,3,46.2497525727963,Street lights,Rain,Icy,Rural,Night,1,4,1,Truck,Turning right,Female,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Kerb,51.8381100402095,0.260573403512076
ACC00111,1,19.7505918605987,Daylight,Fine,Snow,Urban,Afternoon,12,2,5,Van,Turning right,Female,36-45,Urban area,Give way,,,,51.2598605366134,-0.408479731132507
ACC00112,3,48.9684511088833,Darkness,Rain,Wet,Rural,Night,2,4,4,Motorcycle,Overtaking,Female,65+,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Central island,51.4237453273955,-0.169569448190563
ACC00113,1,78.7243456841187,Daylight,Fine,Dry,Urban,Afternoon,14,1,1,Van,Turning right,Female,36-45,Urban area,Give way,,,,51.3394454296692,-0.284258053507596
ACC00114,1,36.2398485738179,Daylight,Fine,Dry,Urban,Afternoon,16,2,1,Van,Turning right,Male,26-35,Urban area,Auto traffic signal,Previous accident,,Other object,52.4211662048708,0.144164724354971
ACC00115,2,31.7988774649768,Daylight,Snow,Wet,Urban,Morning,5,3,1,Motorcycle,Slowing or stopping,Male,46-55,Rural area,Give way,,,Central island,51.188263304325,-0.547492831353368
ACC00116,2,30.2849366060811,Darkness,Snow,Wet,Urban,Evening,17,1,1,Truck,Slowing or stopping,Male,36-45,Rural area,Auto traffic signal,,,,52.2163231056165,-0.433122722945712
ACC00117,2,57.6784700245829,Daylight,Mist,Dry,Rural,Night,7,3,3,Car,Slowing or stopping,Male,46-55,Urban area,Auto traffic signal,Parked vehicle,Skidded,,52.2177627463364,0.186996060014036
ACC00118,2,49.9864280665932,Daylight,Snow,Wet,Rural,Evening,1,2,1,Car,Turning right,Female,56-65,Rural area,Uncontrolled,Previous accident,Skidded,Central island,52.2394755821113,-0.415481153246437
ACC00119,2,48.7018462957937,Darkness,Rain,Dry,Urban,Night,15,1,1,Motorcycle,Turning right,Female,56-65,Urban area,Auto traffic signal,Parked vehicle,,Central island,52.4145055644821,-0.136647292945954
ACC00120,1,28.5342368332804,Daylight,Rain,Wet,Urban,Afternoon,14,1,1,Bus,Going ahead,Female,26-35,Urban area,Give way,Pedestrian in carriageway,Overturned,Kerb,51.7687704995127,-0.299622109029906
ACC00121,3,47.880456425699,Street lights,Snow,Wet,Rural,Early Morning,15,4,6,Motorcycle,Slowing or stopping,Male,65+,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,51.8359199950554,-0.15671056061957
ACC00122,1,59.9167719976813,Daylight,Fine,Wet,Urban,Morning,9,2,1,Car,Going ahead,Male,36-45,Urban area,Give way,Parked vehicle,,,51.4604148271455,0.35579548292659
ACC00123,1,48.392147632583,Daylight,Fine,Dry,Urban,Evening,1,4,1,Motorcycle,Turning right,Female,36-45,Urban area,Uncontrolled,Pedestrian in carriageway,Overturned,,51.4385007671158,0.268668357856727
ACC00124,3,70.1783974369452,Darkness - lights unlit,Fine,Snow,Urban,Early Morning,22,2,3,Motorcycle,Overtaking,Male,36-45,Rural area,Uncontrolled,Previous accident,Overturned,Other object,51.8265620359757,-0.520921149565773
ACC00125,1,17.9379467274547,Street lights,Fine,Icy,Urban,Afternoon,6,1,1,Van,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,Central island,52.5771788814319,-0.529994999784693
ACC00126,2,12.3681165958838,Daylight,Rain,Wet,Urban,Night,14,1,2,Truck,Turning right,Male,46-55,Urban area,Auto traffic signal,,,Kerb,51.4706798788408,-0.444872732539631
ACC00127,2,10.4796422128478,Daylight,Rain,Wet,Urban,Evening,18,1,1,Car,Turning right,Female,46-55,Urban area,Auto traffic signal,Parked vehicle,,Central island,52.5877220240519,-0.449231034428403
ACC00128,1,2.38099975397411,Daylight,Fine,Dry,Urban,Morning,22,2,1,Motorcycle,Going ahead,Male,26-35,Urban area,Give way,Previous accident,,,52.0328262482324,-0.314216060829424
ACC00129,3,92.8725747287128,Darkness,Rain,Wet,Urban,Morning,19,1,1,Bus,Going ahead,Female,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,51.7909123568208,-0.590793577837764
ACC00130,2,32.2660382340924,Darkness,Rain,Wet,Urban,Early Morning,1,2,1,Truck,Slowing or stopping,Male,46-55,Rural area,Uncontrolled,Previous accident,Skidded,Central island,51.4578879944039,0.270685880533581
ACC00131,3,91.6477811664641,Darkness - lights unlit,Rain,Wet,Rural,Early Morning,8,1,1,Motorcycle,Overtaking,Female,46-55,Rural area,Not at junction,Previous accident,Skidded,Kerb,52.3047582258711,0.142503817779489
ACC00132,2,29.3999695755949,Daylight,Fog,Wet,Rural,Night,12,3,1,Truck,Slowing or stopping,Male,36-45,Urban area,Auto traffic signal,,,,51.134545936073,0.454663065197534
ACC00133,3,52.6317306080949,Darkness,Fine,Icy,Rural,Night,15,3,2,Truck,Turning right,Female,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Kerb,52.1982323681038,0.117499809833427
